Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
angular.js,Line_CC,UPGRADE,0.1,0.0,9527.17,254607203.31,15956.42,0.19,0.33,84
angular.js,Line_EC,BUG,0.31,0.28,3797.81,115990904.22,10769.91,0.23,0.4,196
angular.js,Line_EC,DOCS,-0.01,-0.05,9100.95,1322506834.94,36366.29,0.29,0.45,191
angular.js,Line_EC,FEATURE,0.97,0.97,349.25,444588.44,666.77,0.27,0.42,152
angular.js,Line_EC,OTHER,0.45,0.42,3674.5,130572851.05,11426.85,0.2,0.43,182
angular.js,Line_EC,REFACTOR,0.87,0.86,421.91,1275502.82,1129.38,0.41,0.44,153
angular.js,Line_EC,RELEASE,-3.44,-3.75,1.94,39.01,6.25,0.44,0.67,126
angular.js,Line_EC,SUPPORT,1.0,1.0,0.07,0.01,0.11,1.0,1.0,41
angular.js,Line_EC,TESTING,0.42,0.39,266.16,265706.45,515.47,0.28,0.36,158
angular.js,Line_EC,UPGRADE,0.41,0.34,182.46,116709.74,341.63,0.07,0.27,84
lock,Line_CC,BUG,0.97,0.97,149.7,52576.57,229.3,0.12,0.19,168
lock,Line_CC,DOCS,0.0,2.0,3.87,14.95,3.87,1.0,1.0,8
lock,Line_CC,FEATURE,-16.28,-27.8,263.09,232157.02,481.83,0.0,0.0,21
lock,Line_CC,OTHER,0.96,0.96,688.72,2902420.45,1703.65,0.09,0.29,220
lock,Line_CC,REFACTOR,0.0,2.0,3.04,17.89,4.23,1.0,1.0,5
lock,Line_CC,RELEASE,0.97,0.97,44.82,13568.85,116.49,0.32,0.47,239
lock,Line_CC,SUPPORT,-302.67,-357.88,394.0,1584197.37,1258.65,0.14,0.21,54
lock,Line_CC,TESTING,0.97,0.96,713.92,1176847.66,1084.83,0.29,0.36,54
lock,Line_CC,UPGRADE,-20295.21,-28413.69,371.94,410681.03,640.84,0.12,0.38,29
lock,Line_EC,BUG,-0.29,-0.36,914.73,6608805.77,2570.76,0.1,0.24,168
lock,Line_EC,DOCS,1.0,1.0,0.0,0.0,0.0,1.0,1.0,8
lock,Line_EC,FEATURE,-17.17,-29.28,9043.34,118116742.95,10868.15,0.0,0.0,21
lock,Line_EC,OTHER,-0.52,-0.58,4359.88,130904971.55,11441.37,0.07,0.21,220
lock,Line_EC,REFACTOR,1.0,1.0,0.0,0.0,0.0,,,5
lock,Line_EC,RELEASE,0.59,0.58,108.3,72064.48,268.45,0.32,0.47,239
lock,Line_EC,SUPPORT,-282.98,-334.61,404.53,1302041.56,1141.07,0.4,0.4,54
lock,Line_EC,TESTING,-1047.9,-1238.61,8249.77,466727967.51,21603.89,0.5,0.5,54
lock,Line_EC,UPGRADE,-7814.7,-10940.98,9957.21,220288970.61,14842.13,0.0,0.0,29
kubernetes,Line_CC,BUG,0.43,0.41,2193.92,25541627.06,5053.87,0.16,0.38,307
kubernetes,Line_CC,DOCS,0.09,0.05,15089.09,428040027.99,20689.13,0.18,0.25,204
kubernetes,Line_CC,FEATURE,0.31,0.27,421.64,490655.86,700.47,0.17,0.36,142
kubernetes,Line_CC,OTHER,0.72,0.72,36018.46,5535289521.99,74399.53,0.14,0.34,471
kubernetes,Line_CC,REFACTOR,0.29,0.25,3712.23,55510890.27,7450.56,0.28,0.45,159
kubernetes,Line_CC,RELEASE,0.12,0.1,21981.07,2058846257.24,45374.51,0.04,0.07,304
kubernetes,Line_CC,SUPPORT,0.03,-0.01,10959.52,1004739743.94,31697.63,0.13,0.22,219
kubernetes,Line_CC,TESTING,0.31,0.29,17311.83,3582449376.85,59853.57,0.24,0.44,262
kubernetes,Line_CC,UPGRADE,0.17,0.14,4680.97,125759038.0,11214.23,0.21,0.3,225
kubernetes,Line_EC,BUG,-0.13,-0.16,24749.89,4211013219.97,64892.32,0.08,0.15,307
kubernetes,Line_EC,DOCS,0.79,0.78,3944.84,48455594.47,6961.01,0.21,0.38,204
kubernetes,Line_EC,FEATURE,0.37,0.33,292.96,360861.5,600.72,0.19,0.28,142
kubernetes,Line_EC,OTHER,0.21,0.2,107806.78,97675233089.86,312530.37,0.18,0.28,471
kubernetes,Line_EC,REFACTOR,0.26,0.22,1397.45,4398027.28,2097.15,0.19,0.25,159
kubernetes,Line_EC,RELEASE,0.18,0.16,15444.56,1452570367.62,38112.6,0.07,0.13,304
kubernetes,Line_EC,SUPPORT,0.37,0.35,40760.15,11855048538.28,108880.89,0.14,0.2,219
kubernetes,Line_EC,TESTING,0.48,0.46,21555.65,4263346048.56,65294.3,0.17,0.29,262
kubernetes,Line_EC,UPGRADE,0.55,0.53,3528.89,70651537.91,8405.45,0.26,0.36,225
mesos,Line_CC,BUG,0.92,0.91,447.42,674706.67,821.41,0.63,0.81,105
mesos,Line_CC,DOCS,0.76,0.73,685.05,4457272.03,2111.23,0.63,0.63,76
mesos,Line_CC,FEATURE,-4.19,-5.67,37.05,3329.65,57.7,0.5,0.5,37
mesos,Line_CC,OTHER,0.92,0.91,6716.1,177374991.28,13318.22,0.43,0.61,109
mesos,Line_CC,REFACTOR,0.75,0.72,893.92,3267602.72,1807.65,0.5,0.61,71
mesos,Line_CC,RELEASE,0.73,0.7,256.42,91455.56,302.42,0.32,0.58,73
mesos,Line_CC,SUPPORT,0.78,0.75,719.18,1710162.53,1307.73,0.53,0.63,74
