Project,Model,Task,R_Squared,R_Squared_X,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_25_X,PRED_50,PRED_50_X,T_Records
nova,Module_EC,REFACTOR,0.16,,0.07,52.56,29383.8,171.42,0.42,0.34,0.76,0.58,132
nova,Module_CC,TESTING,0.84,,0.83,101.22,39088.65,197.71,0.46,0.43,0.67,0.59,190
nova,Module_EC,TESTING,0.81,,0.8,104.64,75810.14,275.34,0.58,0.38,0.73,0.57,190
nova,Module_CC,FEATURE,0.86,,0.84,2.49,21.73,4.66,0.71,0.6,0.92,0.74,94
nova,Module_EC,FEATURE,0.68,,0.63,7.18,136.33,11.68,0.38,0.43,0.58,0.56,94
nova,Module_CC,UPGRADE,0.82,,0.79,6.42,163.87,12.8,0.44,0.46,0.68,0.62,98
nova,Module_EC,UPGRADE,0.7,,0.66,16.81,1431.25,37.83,0.4,0.43,0.6,0.6,98
nova,Module_CC,RELEASE,0.43,,0.38,4.53,225.87,15.03,0.72,0.62,0.86,0.81,144
nova,Module_EC,RELEASE,0.47,,0.42,8.76,880.4,29.67,0.64,0.58,0.83,0.78,144
nova,Module_CC,SUPPORT,-0.22,,-0.32,67.49,33669.12,183.49,0.41,0.41,0.74,0.64,154
nova,Module_EC,SUPPORT,-2.32,,-2.6,221.07,319716.91,565.44,0.49,0.31,0.67,0.53,154
nova,Module_CC,OTHER,0.44,,0.4,1075.36,32399909.17,5692.09,0.62,0.6,0.88,0.88,207
nova,Module_EC,OTHER,0.52,,0.49,1725.61,77553443.4,8806.44,0.71,0.64,0.87,0.86,207
