Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
moby,Line,OTHER,0.98,0.98,26323.04,6282126071.21,79259.86,0.21,0.34,319
moby,Module,OTHER,0.99,0.99,315.72,1071061.53,1034.92,0.26,0.45,319
tensorflow,Line,OTHER,0.93,0.93,360771.5,864669362941.07,929875.99,0.11,0.21,106
tensorflow,Module,OTHER,0.9,0.9,5135.63,192903563.77,13888.97,0.16,0.32,106
roslyn,Line,OTHER,0.95,0.95,366493.09,1642089855518.92,1281440.54,0.46,0.53,102
roslyn,Module,OTHER,0.92,0.92,7096.8,861702246.17,29354.77,0.52,0.58,102
home-assistant,Line,OTHER,0.93,0.93,15660.23,2965245583.02,54454.07,0.13,0.26,560
home-assistant,Module,OTHER,0.87,0.87,1054.69,28841713.74,5370.45,0.28,0.48,560
node,Line,OTHER,0.99,0.99,253181.39,258696894327.84,508622.55,0.26,0.4,596
node,Module,OTHER,1.0,1.0,1756.73,13156246.51,3627.15,0.4,0.54,596
cli,Line,OTHER,0.81,0.8,140294.17,100744734993.33,317403.11,0.05,0.16,109
cli,Module,OTHER,0.86,0.86,587.14,1326343.36,1151.67,0.24,0.45,109
ansible,Line,OTHER,1.0,1.0,119917.77,150079498384.99,387400.95,0.36,0.46,303
ansible,Module,OTHER,1.0,1.0,2548.17,42855062.05,6546.38,0.48,0.63,303
vue,Line,OTHER,0.98,0.98,7406.6,161407154.64,12704.61,0.21,0.33,248
vue,Module,OTHER,1.0,1.0,31.69,8146.48,90.26,0.49,0.68,248
angular,Line,OTHER,0.96,0.96,47973.2,18593918307.75,136359.52,0.15,0.24,411
angular,Module,OTHER,0.95,0.95,287.73,354177.61,595.13,0.25,0.44,411
lock,Line,BUG,0.98,0.98,2895.17,180975090.79,13452.7,0.54,0.58,492
lock,Module,BUG,0.9,0.9,54.11,42023.41,205.0,0.6,0.68,492
kubernetes,Line,BUG,0.91,0.91,39467.43,15706405798.69,125325.2,0.48,0.57,641
kubernetes,Module,BUG,0.94,0.94,544.56,2481101.85,1575.15,0.52,0.66,641
nova,Line,BUG,0.89,0.89,30603.23,4838259712.4,69557.6,0.36,0.52,234
nova,Module,BUG,0.95,0.95,226.56,1006127.22,1003.06,0.54,0.8,234
react,Line,BUG,0.93,0.93,150803.23,346078312011.05,588284.21,0.23,0.32,130
react,Module,BUG,0.96,0.96,858.97,16705453.21,4087.23,0.33,0.5,130
cinder,Line,BUG,0.85,0.85,40901.94,6778593261.95,82332.21,0.32,0.39,181
cinder,Module,BUG,0.99,0.99,105.52,30428.23,174.44,0.5,0.72,181
angular.js,Line,BUG,0.97,0.97,11096.69,736829944.34,27144.61,0.23,0.47,204
angular.js,Module,BUG,0.99,0.99,199.84,206209.22,454.1,0.43,0.73,204
Odin,Line,BUG,0.93,0.92,1061.73,2442174.5,1562.75,0.23,0.37,35
Odin,Module,BUG,0.96,0.96,25.67,2165.16,46.53,0.34,0.57,35
nixpkgs,Line,BUG,0.92,0.92,7777.46,339652052.57,18429.65,0.26,0.34,93
nixpkgs,Module,BUG,0.96,0.96,239.66,715236.86,845.72,0.55,0.68,93
brew,Line,BUG,0.88,0.88,757.21,18252454.54,4272.29,0.13,0.23,152
brew,Module,BUG,0.88,0.88,51.44,29786.78,172.59,0.15,0.26,152
mesos,Line,BUG,0.99,0.99,594.45,3093709.81,1758.89,0.55,0.74,257
mesos,Module,BUG,1.0,1.0,12.54,854.96,29.24,0.73,0.89,257
elasticsearch,Line,BUG,1.0,1.0,40547.91,16982199968.99,130315.77,0.51,0.63,270
elasticsearch,Module,BUG,1.0,1.0,1604.07,22244625.91,4716.42,0.52,0.71,270
linux,Line,BUG,0.99,0.99,1666.9,27027437.52,5198.79,0.43,0.7,640
linux,Module,BUG,0.99,0.99,49.3,22521.25,150.07,0.69,0.94,640
lock,Line,DOCS,0.98,0.98,31.26,37369.93,193.31,0.97,0.97,492
lock,Module,DOCS,0.98,0.98,0.15,1.22,1.1,0.97,0.97,492
cinder,Line,DOCS,0.99,0.99,458.76,1511734.86,1229.53,0.7,0.75,181
cinder,Module,DOCS,0.98,0.98,15.55,2156.83,46.44,0.71,0.8,181
nova,Line,DOCS,0.93,0.93,3185.64,67427626.69,8211.43,0.54,0.63,234
nova,Module,DOCS,0.97,0.97,30.54,7962.09,89.23,0.62,0.75,234
angular.js,Line,DOCS,0.9,0.9,30105.69,4629367447.64,68039.46,0.13,0.25,204
angular.js,Module,DOCS,0.99,0.99,108.19,48946.22,221.24,0.34,0.54,204
kubernetes,Line,DOCS,0.95,0.95,9426.26,390531622.68,19761.87,0.61,0.69,641
