Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
tensorflow,Module_CC,FEATURE,0.83,0.82,0.3,1.13,1.06,0.89,0.93,106,0,0.639
tensorflow,Module_EC,FEATURE,0.87,0.86,8.48,531.76,23.06,0.79,0.87,106,0,0.519
tensorflow,Module_UC,FEATURE,0.82,0.81,9.68,1215.6,34.87,0.78,0.81,106,0,0.491
vue,Line_CC,FEATURE,0.54,0.53,37.79,51568.15,227.09,0.92,0.93,248,0,0.678
vue,Line_EC,FEATURE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,248,0,0.751
vue,Line_UC,FEATURE,0.15,0.14,14.82,18621.51,136.46,0.94,0.96,248,0,0.695
vue,Module_CC,FEATURE,0.59,0.58,1.82,113.84,10.67,0.92,0.93,248,0,0.678
vue,Module_EC,FEATURE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,248,0,0.751
vue,Module_UC,FEATURE,0.08,0.06,0.77,61.93,7.87,0.96,0.96,248,0,0.695
neutron,Line_CC,FEATURE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.751
neutron,Line_EC,FEATURE,0.84,0.84,94.61,97177.76,311.73,0.88,0.88,203,0,0.596
neutron,Line_UC,FEATURE,0.73,0.72,87.14,172652.94,415.52,0.93,0.93,203,0,0.64
neutron,Module_CC,FEATURE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.751
neutron,Module_EC,FEATURE,0.92,0.92,2.38,55.74,7.47,0.83,0.89,203,0,0.596
neutron,Module_UC,FEATURE,0.58,0.57,1.04,25.19,5.02,0.92,0.93,203,0,0.64
moby,Line_CC,FEATURE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,319,0,0.751
moby,Line_EC,FEATURE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,319,0,0.718
moby,Line_UC,FEATURE,0.85,0.85,24.95,15597.27,124.89,0.86,0.87,319,0,0.593
moby,Module_CC,FEATURE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,319,0,0.751
moby,Module_EC,FEATURE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,319,0,0.718
moby,Module_UC,FEATURE,0.56,0.55,0.81,11.58,3.4,0.86,0.89,319,0,0.593
angular,Line_CC,FEATURE,0.68,0.68,4881.18,391856710.23,19795.37,0.53,0.65,411,0,0.273
angular,Line_EC,FEATURE,0.66,0.66,7160.85,2495526302.51,49955.24,0.83,0.9,411,0,0.603
angular,Line_UC,FEATURE,0.78,0.78,1583.28,30128941.45,5488.98,0.64,0.73,411,0,0.419
angular,Module_CC,FEATURE,0.82,0.82,86.56,141561.31,376.25,0.58,0.74,411,0,0.273
angular,Module_EC,FEATURE,0.75,0.75,54.92,75702.65,275.14,0.85,0.88,411,0,0.603
angular,Module_UC,FEATURE,0.97,0.97,47.44,34365.01,185.38,0.66,0.73,411,0,0.419
home-assistant,Line_CC,FEATURE,0.6,0.6,11.22,4627.43,68.03,0.94,0.95,560,0,0.698
home-assistant,Line_EC,FEATURE,0.28,0.27,222.28,9277370.6,3045.88,0.99,0.99,560,0,0.742
home-assistant,Line_UC,FEATURE,0.8,0.8,8.95,3265.33,57.14,0.97,0.98,560,0,0.717
home-assistant,Module_CC,FEATURE,0.5,0.5,0.2,2.59,1.61,0.96,0.96,560,0,0.698
home-assistant,Module_EC,FEATURE,0.48,0.48,3.79,1825.95,42.73,0.99,0.99,560,0,0.742
home-assistant,Module_UC,FEATURE,0.33,0.33,0.33,7.68,2.77,0.97,0.98,560,0,0.717
gitlabhq,Line_CC,TESTING,0.02,0.02,96.57,2697916.05,1642.53,0.8,0.84,1154,0,0.548
gitlabhq,Line_EC,TESTING,0.93,0.93,169.09,429961.12,655.71,0.76,0.83,1154,0,0.521
gitlabhq,Line_UC,TESTING,0.83,0.83,19644.22,13882535663.75,117824.17,0.65,0.71,1154,0,0.414
gitlabhq,Module_CC,TESTING,0.67,0.67,2.3,118.11,10.87,0.8,0.85,1154,0,0.548
