Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
nova,Module,SUPPORT,0.59,0.58,262.49,422964.98,650.36,0.06,0.13,87,147,0.408
cli,Line,SUPPORT,0.05,0.03,1156.86,5172654.37,2274.35,0.09,0.19,91,18,0.527
cli,Module,SUPPORT,0.29,0.27,17.06,724.19,26.91,0.09,0.21,91,18,0.527
ansible,Line,SUPPORT,0.96,0.96,7994.04,210541151.56,14510.04,0.09,0.22,127,176,0.338
ansible,Module,SUPPORT,0.99,0.99,117.67,45468.52,213.23,0.24,0.28,127,176,0.338
angular.js,Line,SUPPORT,0.45,0.44,77.96,54932.02,234.38,0.04,0.04,142,62,0.594
angular.js,Module,SUPPORT,0.59,0.58,2.69,42.89,6.55,0.03,0.06,142,62,0.594
kubernetes,Line,SUPPORT,0.3,0.29,120106.83,126963245414.8,356319.02,0.0,0.01,268,373,0.377
kubernetes,Module,SUPPORT,0.33,0.32,655.01,3752119.93,1937.04,0.03,0.07,268,373,0.377
lock,Line,SUPPORT,0.29,0.29,1413.83,105254824.57,10259.38,0.01,0.01,476,16,0.641
lock,Module,SUPPORT,0.53,0.53,34.15,57218.65,239.2,0.02,0.02,476,16,0.641
nova,Line,OTHER,0.98,0.98,14551.73,618651185.59,24872.7,0.47,0.72,87,147,0.147
nova,Module,OTHER,0.98,0.98,460.9,1124511.82,1060.43,0.64,0.77,87,147,0.147
cli,Line,OTHER,0.05,0.03,134028.03,76463685016.56,276520.68,0.07,0.16,91,18,0.333
cli,Module,OTHER,0.2,0.17,665.85,1314708.84,1146.61,0.13,0.34,91,18,0.333
angular.js,Line,OTHER,0.66,0.66,26316.47,2738383133.14,52329.56,0.15,0.23,142,62,0.218
angular.js,Module,OTHER,0.76,0.75,717.24,1277004.16,1130.05,0.06,0.2,142,62,0.218
ansible,Line,OTHER,0.94,0.94,288584.79,267117604635.07,516834.21,0.16,0.31,127,176,0.184
ansible,Module,OTHER,0.97,0.97,4663.35,78723696.66,8872.64,0.31,0.46,127,176,0.184
kubernetes,Line,OTHER,0.71,0.71,329815.49,532870686877.09,729979.92,0.1,0.22,268,373,0.179
kubernetes,Module,OTHER,0.92,0.92,1965.69,14229091.61,3772.15,0.16,0.28,268,373,0.179
