Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
lock,Line,TESTING,1.0,1.0,1978.68,294634057.68,17164.91,0.08,0.19,476,16,0.644
lock,Module,TESTING,1.0,1.0,22.46,91623.95,302.69,0.29,0.33,476,16,0.644
orleans,Line,UPGRADE,1.0,1.0,23.57,22883.32,151.27,0.67,0.67,72,42,0.636
orleans,Module,UPGRADE,1.0,1.0,1.85,73.88,8.6,0.44,0.44,72,42,0.636
angular.js,Line,FEATURE,1.0,1.0,3486.23,112693777.78,10615.73,0.27,0.42,142,62,0.357
angular.js,Module,FEATURE,1.0,1.0,28.96,9691.23,98.44,0.6,0.73,142,62,0.357
kubernetes,Line,TESTING,1.0,1.0,28454.83,9733887586.3,98660.47,0.34,0.52,268,373,0.286
kubernetes,Module,TESTING,1.0,1.0,159.33,256341.15,506.3,0.38,0.63,268,373,0.286
cli,Line,UPGRADE,1.0,1.0,1872.07,89502848.02,9460.59,0.07,0.16,91,18,0.522
cli,Module,UPGRADE,1.0,1.0,38.59,29863.08,172.81,0.25,0.38,91,18,0.522
ansible,Line,UPGRADE,1.0,1.0,377.92,4770540.49,2184.16,0.64,0.69,127,176,0.375
ansible,Module,UPGRADE,1.0,1.0,21.64,8505.29,92.22,0.69,0.8,127,176,0.375
nova,Line,UPGRADE,1.0,1.0,541.8,4002090.29,2000.52,0.68,0.73,87,147,0.486
nova,Module,UPGRADE,1.0,1.0,5.46,334.89,18.3,0.76,0.83,87,147,0.486
lock,Line,FEATURE,1.0,1.0,1417.75,136678188.83,11690.94,0.0,0.0,476,16,0.674
lock,Module,FEATURE,1.0,1.0,52.56,164338.32,405.39,0.0,0.0,476,16,0.674
orleans,Line,RELEASE,1.0,1.0,8.47,1574.22,39.68,0.62,0.67,72,42,0.606
orleans,Module,RELEASE,1.0,1.0,0.22,0.81,0.9,0.71,0.76,72,42,0.606
angular.js,Line,UPGRADE,1.0,1.0,5944.42,234294032.14,15306.67,0.34,0.34,142,62,0.503
angular.js,Module,UPGRADE,1.0,1.0,3.89,376.63,19.41,0.62,0.67,142,62,0.503
kubernetes,Line,FEATURE,1.0,1.0,957.07,12765201.64,3572.84,0.47,0.56,268,373,0.52
kubernetes,Module,FEATURE,1.0,1.0,28.61,9874.47,99.37,0.5,0.61,268,373,0.52
cli,Line,RELEASE,1.0,1.0,46.04,16870.46,129.89,0.21,0.29,91,18,0.577
cli,Module,RELEASE,1.0,1.0,1.22,13.46,3.67,0.34,0.61,91,18,0.577
nova,Line,RELEASE,1.0,1.0,598.03,12074098.75,3474.78,0.7,0.82,87,147,0.402
nova,Module,RELEASE,1.0,1.0,1.89,32.6,5.71,0.87,0.96,87,147,0.402
ansible,Line,RELEASE,1.0,1.0,319.87,568425.71,753.94,0.58,0.69,127,176,0.334
ansible,Module,RELEASE,1.0,1.0,8.9,446.3,21.13,0.63,0.8,127,176,0.334
lock,Line,UPGRADE,1.0,1.0,707.38,77435786.42,8799.76,0.12,0.23,476,16,0.668
lock,Module,UPGRADE,1.0,1.0,10.35,6969.34,83.48,0.15,0.15,476,16,0.668
orleans,Line,SUPPORT,1.0,1.0,367.51,1909443.65,1381.83,0.46,0.54,72,42,0.525
orleans,Module,SUPPORT,1.0,1.0,10.89,1794.86,42.37,0.41,0.65,72,42,0.525
angular.js,Line,RELEASE,1.0,1.0,74.61,34191.28,184.91,0.36,0.49,142,62,0.466
angular.js,Module,RELEASE,1.0,1.0,1.77,21.52,4.64,0.61,0.76,142,62,0.466
kubernetes,Line,UPGRADE,1.0,1.0,2041.91,107769342.78,10381.2,0.4,0.51,268,373,0.381
kubernetes,Module,UPGRADE,1.0,1.0,21.29,12168.09,110.31,0.48,0.6,268,373,0.381
cli,Line,SUPPORT,1.0,1.0,993.93,7307992.46,2703.33,0.08,0.32,91,18,0.527
cli,Module,SUPPORT,1.0,1.0,14.55,966.04,31.08,0.16,0.32,91,18,0.527
nova,Line,SUPPORT,1.0,1.0,1714.71,125197135.45,11189.15,0.81,0.86,87,147,0.408
nova,Module,SUPPORT,1.0,1.0,72.44,323095.75,568.42,0.81,0.91,87,147,0.408
ansible,Line,SUPPORT,1.0,1.0,5541.2,713945045.33,26719.75,0.56,0.63,127,176,0.338
ansible,Module,SUPPORT,1.0,1.0,52.13,56190.33,237.04,0.78,0.85,127,176,0.338
orleans,Line,OTHER,1.0,1.0,8830.19,773538855.94,27812.57,0.28,0.37,72,42,0.355
orleans,Module,OTHER,1.0,1.0,285.47,1147620.35,1071.27,0.31,0.48,72,42,0.355
lock,Line,RELEASE,1.0,1.0,491.64,28593951.01,5347.33,0.4,0.59,476,16,0.541
lock,Module,RELEASE,1.0,1.0,15.92,25272.2,158.97,0.73,0.79,476,16,0.541
angular.js,Line,SUPPORT,1.0,1.0,44.09,47299.12,217.48,0.2,0.44,142,62,0.594
angular.js,Module,SUPPORT,1.0,1.0,2.3,53.1,7.29,0.24,0.39,142,62,0.594
kubernetes,Line,RELEASE,1.0,1.0,10739.42,1120454818.62,33473.2,0.22,0.29,268,373,0.278
kubernetes,Module,RELEASE,1.0,1.0,63.05,33002.37,181.67,0.29,0.36,268,373,0.278
cli,Line,OTHER,1.0,1.0,114737.16,66531920993.63,257937.82,0.19,0.32,91,18,0.333
cli,Module,OTHER,1.0,1.0,626.3,1744966.19,1320.97,0.19,0.51,91,18,0.333
nova,Line,OTHER,1.0,1.0,14273.38,1135152816.48,33692.03,0.74,0.91,87,147,0.147
nova,Module,OTHER,1.0,1.0,429.16,1508524.89,1228.22,0.86,0.96,87,147,0.147
ansible,Line,OTHER,1.0,1.0,143495.62,366314071069.59,605238.85,0.47,0.56,127,176,0.184
ansible,Module,OTHER,1.0,1.0,2857.58,142432043.85,11934.49,0.48,0.65,127,176,0.184
lock,Line,SUPPORT,1.0,1.0,493.49,21579455.45,4645.37,0.09,0.18,476,16,0.641
lock,Module,SUPPORT,1.0,1.0,10.65,8123.27,90.13,0.26,0.36,476,16,0.641
angular.js,Line,OTHER,1.0,1.0,23901.02,2395857940.22,48947.5,0.2,0.35,142,62,0.218
angular.js,Module,OTHER,1.0,1.0,382.68,744754.52,862.99,0.34,0.5,142,62,0.218
kubernetes,Line,SUPPORT,1.0,1.0,52380.85,87559763783.22,295904.99,0.37,0.52,268,373,0.377
