Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
selenium,Line,RELEASE,1.0,1.0,1762.09,15599189.52,3949.58,0.07,0.17,123,0,0.388
selenium,Module,RELEASE,1.0,1.0,14.64,3261.84,57.11,0.25,0.41,123,0,0.388
generator-jhipster,Line,BUG,1.0,1.0,1048.82,10660008.04,3264.97,0.1,0.24,207,0,0.253
generator-jhipster,Module,BUG,1.0,1.0,41.38,9992.54,99.96,0.17,0.33,207,0,0.253
superagent,Line,OTHER,1.0,1.0,685.23,3537111.51,1880.72,0.13,0.21,135,0,0.328
superagent,Module,OTHER,1.0,1.0,9.09,634.28,25.19,0.27,0.51,135,0,0.328
pandoc,Line,SUPPORT,1.0,1.0,244.99,733174.97,856.26,0.58,0.68,136,0,0.517
pandoc,Module,SUPPORT,1.0,1.0,5.88,490.39,22.14,0.65,0.74,136,0,0.517
swagger-ui,Line,SUPPORT,1.0,1.0,81.36,134424.81,366.64,0.76,0.76,189,0,0.635
swagger-ui,Module,SUPPORT,1.0,1.0,1.25,22.98,4.79,0.76,0.81,189,0,0.635
browser-sync,Line,FEATURE,1.0,1.0,2.03,118.5,10.89,0.95,0.95,219,0,0.672
browser-sync,Module,FEATURE,1.0,1.0,0.13,0.46,0.68,0.95,0.96,219,0,0.672
keystone,Line,SUPPORT,1.0,1.0,21.56,77726.4,278.79,0.97,0.98,1504,0,0.674
keystone,Module,SUPPORT,1.0,1.0,0.88,167.39,12.94,0.98,0.98,1504,0,0.674
karma,Line,BUG,1.0,1.0,852.68,6492774.03,2548.09,0.14,0.25,201,0,0.295
karma,Module,BUG,1.0,1.0,20.27,4307.79,65.63,0.33,0.53,201,0,0.295
mongoose,Line,SUPPORT,1.0,1.0,324.39,2791966.33,1670.92,0.81,0.84,582,0,0.627
mongoose,Module,SUPPORT,1.0,1.0,1.75,56.09,7.49,0.86,0.92,582,0,0.627
medium-editor,Line,OTHER,1.0,1.0,3560.13,152525440.37,12350.12,0.12,0.25,150,0,0.344
medium-editor,Module,OTHER,1.0,1.0,89.13,141220.11,375.79,0.27,0.62,150,0,0.344
generator-jhipster,Line,DOCS,1.0,1.0,7.34,767.83,27.71,0.8,0.84,207,0,0.617
generator-jhipster,Module,DOCS,1.0,1.0,0.28,1.2,1.09,0.88,0.92,207,0,0.617
selenium,Line,SUPPORT,1.0,1.0,4640.06,113150514.96,10637.22,0.06,0.15,123,0,0.36
selenium,Module,SUPPORT,1.0,1.0,29.7,7720.89,87.87,0.15,0.33,123,0,0.36
jsdom,Line,BUG,1.0,1.0,299.2,1041162.04,1020.37,0.09,0.17,246,0,0.514
jsdom,Module,BUG,1.0,1.0,4.16,158.43,12.59,0.21,0.4,246,0,0.514
npm,Line,OTHER,1.0,1.0,38996.53,56162448673.26,236986.18,0.18,0.27,591,0,0.372
npm,Module,OTHER,1.0,1.0,525.26,10444027.6,3231.72,0.28,0.45,591,0,0.372
pandoc,Line,OTHER,1.0,1.0,3924.75,144486181.45,12020.24,0.18,0.3,136,0,0.298
pandoc,Module,OTHER,1.0,1.0,99.61,196812.45,443.64,0.23,0.55,136,0,0.298
browser-sync,Line,UPGRADE,1.0,1.0,0.13,1.93,1.39,0.99,0.99,219,0,0.678
browser-sync,Module,UPGRADE,1.0,1.0,0.03,0.09,0.3,0.99,0.99,219,0,0.678
swagger-ui,Line,OTHER,1.0,1.0,17841.01,3428356454.68,58552.17,0.05,0.11,189,0,0.363
swagger-ui,Module,OTHER,1.0,1.0,182.7,138883.34,372.67,0.15,0.31,189,0,0.363
stylus,Line,BUG,1.0,1.0,101.45,137914.17,371.37,0.19,0.43,162,0,0.462
stylus,Module,BUG,1.0,1.0,4.09,57.53,7.58,0.34,0.61,162,0,0.462
karma,Line,DOCS,1.0,1.0,360.84,896163.62,946.66,0.57,0.61,201,0,0.477
karma,Module,DOCS,1.0,1.0,8.34,438.74,20.95,0.59,0.64,201,0,0.477
keystone,Line,OTHER,1.0,1.0,4717.89,7758348362.71,88081.49,0.89,0.9,1504,0,0.648
keystone,Module,OTHER,1.0,1.0,53.36,750604.81,866.37,0.89,0.91,1504,0,0.648
jsdom,Line,DOCS,1.0,1.0,1.12,43.78,6.62,0.95,0.95,246,0,0.669
jsdom,Module,DOCS,1.0,1.0,0.1,0.26,0.51,0.95,0.96,246,0,0.669
generator-jhipster,Line,REFACTOR,1.0,1.0,515.71,7651739.75,2766.18,0.73,0.78,207,0,0.592
generator-jhipster,Module,REFACTOR,1.0,1.0,10.82,3009.29,54.86,0.75,0.8,207,0,0.592
selenium,Line,OTHER,1.0,1.0,81490.53,61916428964.36,248830.12,0.1,0.24,123,0,0.167
selenium,Module,OTHER,1.0,1.0,726.95,4116354.54,2028.88,0.24,0.44,123,0,0.167
pomelo,Line,BUG,1.0,1.0,21.59,2003.55,44.76,0.23,0.29,93,0,0.483
pomelo,Module,BUG,1.0,1.0,1.63,17.55,4.19,0.31,0.55,93,0,0.483
mongoose,Line,OTHER,1.0,1.0,4330.14,136863190.35,11698.85,0.09,0.19,582,0,0.355
mongoose,Module,OTHER,1.0,1.0,35.92,14879.25,121.98,0.23,0.38,582,0,0.355
browser-sync,Line,RELEASE,1.0,1.0,0.42,10.93,3.31,0.98,0.98,219,0,0.676
browser-sync,Module,RELEASE,1.0,1.0,0.05,0.13,0.36,0.97,0.98,219,0,0.676
stylus,Line,DOCS,1.0,1.0,1125.75,67659802.75,8225.56,0.7,0.74,162,0,0.608
stylus,Module,DOCS,1.0,1.0,6.02,2274.97,47.7,0.81,0.89,162,0,0.608
fpm,Line,BUG,1.0,1.0,99.62,195188.74,441.8,0.21,0.36,81,0,0.382
fpm,Module,BUG,1.0,1.0,9.22,1490.13,38.6,0.26,0.51,81,0,0.382
systemjs,Line,BUG,1.0,1.0,375.47,3354348.04,1831.49,0.11,0.18,212,0,0.38
systemjs,Module,BUG,1.0,1.0,11.85,1936.03,44.0,0.2,0.36,212,0,0.38
karma,Line,REFACTOR,1.0,1.0,481.31,2789657.36,1670.23,0.75,0.76,201,0,0.563
