,Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
0,core-js,Module,REFACTOR,1.0,1.0,75.97,9250.18,96.18,0.8,0.8,17
0,core-js,Module,RELEASE,-inf,-inf,0.65,0.42,0.65,0.0,0.0,3
0,core-js,Module,SUPPORT,0.92,0.91,16.91,728.44,26.99,0.56,0.56,33
0,core-js,Module,TESTING,0.53,0.5,552.46,372546.61,610.37,0.0,0.14,56
0,core-js,Module,UPGRADE,0.99,0.99,2.17,7.12,2.67,0.2,1.0,18
0,d3,Line,BUG,0.65,0.64,243.65,194960.05,441.54,0.11,0.37,107
0,d3,Module,BUG,0.95,0.95,8.41,401.74,20.04,0.52,0.85,107
0,dat,Line,BUG,0.57,0.52,2773.53,20433826.93,4520.38,0.0,0.71,28
0,dat,Line,DOCS,0.43,-0.14,15319.34,234682067.0,15319.34,0.0,0.0,4
0,dat,Module,BUG,0.96,0.96,84.1,14201.39,119.17,0.71,0.86,28
0,dat,Module,DOCS,1.0,,59.18,3501.91,59.18,0.0,0.0,4
0,devise,Line,BUG,0.63,0.61,115.33,20602.34,143.54,0.14,0.24,81
0,devise,Line,DOCS,0.82,0.81,46.22,3156.61,56.18,0.22,0.33,36
0,devise,Line,FEATURE,0.33,0.14,27.65,768.34,27.72,0.0,0.0,12
0,devise,Line,OTHER,0.71,0.71,1750.92,8484832.91,2912.87,0.15,0.33,107
0,devise,Line,REFACTOR,0.72,0.7,66.32,15174.2,123.18,0.33,0.56,35
0,devise,Line,RELEASE,0.65,0.63,27.87,2313.8,48.1,0.29,0.43,82
0,devise,Line,SUPPORT,0.87,0.85,103.41,15401.9,124.1,0.5,0.75,31
0,devise,Line,TESTING,0.56,0.54,468.48,485573.76,696.83,0.12,0.19,64
0,devise,Line,UPGRADE,0.57,0.52,88.1,11009.9,104.93,0.0,0.29,25
0,devise,Module,BUG,0.69,0.68,12.15,289.43,17.01,0.29,0.48,81
0,devise,Module,DOCS,0.93,0.92,4.31,29.98,5.48,0.33,0.44,36
0,devise,Module,FEATURE,1.0,0.99,1.9,6.64,2.58,0.67,0.67,12
0,devise,Module,OTHER,0.79,0.78,122.71,40555.45,201.38,0.19,0.48,107
0,devise,Module,REFACTOR,0.77,0.74,3.56,24.44,4.94,0.33,0.44,35
0,devise,Module,RELEASE,0.95,0.95,1.97,5.05,2.25,0.38,0.86,82
0,devise,Module,SUPPORT,0.93,0.92,4.96,44.05,6.64,0.75,0.75,31
0,devise,Module,TESTING,0.59,0.56,20.04,928.75,30.48,0.06,0.38,64
0,devise,Module,UPGRADE,0.9,0.89,8.22,141.53,11.9,0.14,0.43,25
0,elasticsearch,Line,BUG,1.0,1.0,34159.16,2279528541.91,47744.41,0.45,0.47,149
0,elasticsearch,Line,DOCS,0.99,0.99,22432.02,1351259180.88,36759.48,0.54,0.59,148
0,elasticsearch,Line,FEATURE,0.83,0.82,101746.53,23291781555.16,152616.45,0.41,0.44,105
0,elasticsearch,Line,OTHER,1.0,1.0,384822.38,306036713920.35,553205.85,0.42,0.61,150
0,elasticsearch,Line,REFACTOR,0.97,0.97,33137.51,3140429125.14,56039.53,0.74,0.74,108
0,elasticsearch,Line,RELEASE,0.95,0.95,2966.73,21652628.69,4653.24,0.86,0.92,142
0,elasticsearch,Line,SUPPORT,0.97,0.97,79998.96,21588723221.36,146931.02,0.61,0.64,131
0,elasticsearch,Line,TESTING,0.97,0.97,78913.5,11657342574.61,107969.17,0.53,0.69,144
0,elasticsearch,Line,UPGRADE,0.93,0.93,39627.99,3933496673.11,62717.59,0.45,0.52,132
0,elasticsearch,Module,BUG,0.99,0.99,2034.09,8749735.91,2958.0,0.34,0.45,149
0,elasticsearch,Module,DOCS,1.0,1.0,493.11,518921.59,720.36,0.62,0.68,148
0,elasticsearch,Module,FEATURE,0.95,0.95,923.89,1365230.12,1168.43,0.56,0.85,105
0,elasticsearch,Module,OTHER,0.99,0.99,21510.53,685098357.11,26174.38,0.39,0.39,150
0,elasticsearch,Module,REFACTOR,0.95,0.95,1428.28,4970671.81,2229.5,0.63,0.7,108
0,elasticsearch,Module,RELEASE,0.8,0.8,704.79,788341.44,887.89,0.36,0.58,142
0,elasticsearch,Module,SUPPORT,0.99,0.98,1573.76,5824080.86,2413.31,0.67,0.7,131
0,elasticsearch,Module,TESTING,0.98,0.98,2666.46,14442181.58,3800.29,0.58,0.64,144
0,elasticsearch,Module,UPGRADE,0.98,0.98,2459.76,20378454.62,4514.25,0.7,0.79,132
0,fluentd,Line,BUG,0.84,0.84,1446.79,3106241.74,1762.45,0.18,0.21,134
0,fluentd,Module,BUG,0.85,0.85,65.96,6693.04,81.81,0.24,0.35,134
0,fpm,Line,BUG,0.17,0.13,137.2,78794.46,280.7,0.0,0.46,51
0,fpm,Line,DOCS,0.88,0.82,1144.78,1650147.72,1284.58,0.0,0.0,8
0,fpm,Line,FEATURE,0.17,-0.04,19.53,398.16,19.95,0.0,0.0,14
0,fpm,Line,OTHER,0.41,0.39,347.69,512080.26,715.6,0.39,0.67,69
0,fpm,Line,REFACTOR,0.89,0.67,248.74,61872.71,248.74,0.0,0.0,4
0,fpm,Line,RELEASE,0.89,0.87,5.88,42.45,6.52,0.25,0.25,16
0,fpm,Line,SUPPORT,0.31,0.2,133.78,35199.4,187.62,0.0,0.5,21
0,fpm,Line,TESTING,0.91,0.89,97.35,16707.48,129.26,0.17,0.67,21
0,fpm,Line,UPGRADE,0.64,0.54,70.33,17372.28,131.8,0.75,0.75,13
0,fpm,Module,BUG,0.74,0.71,7.22,112.53,10.61,0.54,0.62,51
0,fpm,Module,DOCS,0.98,0.96,24.65,931.75,30.52,0.0,0.0,8
0,fpm,Module,FEATURE,0.77,0.67,1.48,2.9,1.7,0.25,0.75,14
0,fpm,Module,OTHER,0.7,0.68,40.24,8269.96,90.94,0.44,0.61,69
0,fpm,Module,REFACTOR,1.0,,6.52,42.47,6.52,0.0,0.0,4
0,fpm,Module,RELEASE,0.95,0.93,0.41,0.17,0.41,1.0,1.0,16
0,fpm,Module,SUPPORT,0.62,0.53,1.5,4.16,2.04,0.5,0.83,21
0,fpm,Module,TESTING,0.99,0.98,3.6,22.18,4.71,0.83,1.0,21
0,fpm,Module,UPGRADE,1.0,0.99,3.71,23.82,4.88,0.5,0.5,13
0,generator-jhipster,Line,BUG,0.28,0.27,1030.84,9069777.42,3011.61,0.07,0.21,166
0,generator-jhipster,Line,DOCS,0.31,0.25,25.75,2263.53,47.58,0.11,0.33,35
0,generator-jhipster,Line,FEATURE,0.17,0.09,247.53,107563.66,327.97,0.0,0.0,31
0,generator-jhipster,Line,OTHER,0.86,0.86,5846.19,197093309.92,14038.99,0.07,0.13,179
0,generator-jhipster,Line,REFACTOR,0.84,0.83,1467.19,5040560.56,2245.12,0.56,0.67,34
0,generator-jhipster,Line,RELEASE,0.28,0.27,3.12,27.7,5.26,0.07,0.09,173
0,generator-jhipster,Line,SUPPORT,0.54,0.53,803.28,2386318.79,1544.77,0.16,0.42,73
0,generator-jhipster,Line,TESTING,0.66,0.66,366.77,166956.1,408.6,0.1,0.24,116
0,generator-jhipster,Line,UPGRADE,0.64,0.63,584.89,3454965.14,1858.75,0.04,0.12,101
0,generator-jhipster,Module,BUG,0.84,0.83,62.81,27729.3,166.52,0.31,0.62,166
0,generator-jhipster,Module,DOCS,0.8,0.77,1.12,2.34,1.53,0.56,0.89,35
0,generator-jhipster,Module,FEATURE,0.85,0.83,12.87,317.49,17.82,0.25,0.38,31
0,generator-jhipster,Module,OTHER,0.88,0.88,287.33,241811.82,491.74,0.36,0.53,179
